album_id,song_id
300848,1
300822,2
514953,3
287650,4
611336,5
41838,6
25824,7
8876,8
358182,9
692313,10
539081,11
163874,12
575792,13
815863,14
25811,15
135122,16
149958,17
535188,18
372309,19
541101,20
605134,21
239740,22
386995,23
223365,24
652784,25
45730,26
672016,27
160881,28
59744,29
373723,30
228326,31
463514,32
643400,33
663761,34
12882,35
270281,36
244586,37
157648,38
644631,39
730551,40
709879,41
706005,42
42595,43
782470,44
28723,45
557761,46
417945,47
575531,48
234425,49
505301,50
74655,51
322532,52
14592,53
515081,54
765750,55
17220,56
617077,57
278999,58
19601,59
38599,60
619882,61
618615,62
681639,63
449471,64
321356,65
530141,66
104765,67
695158,68
509770,69
223779,70
466577,71
148547,72
423012,73
7133,74
358442,75
15567,76
413222,77
80578,78
26902,79
633532,80
435830,81
495734,82
664484,83
112851,84
200689,85
682725,86
287804,87
220917,88
629785,89
11305,90
4967,91
325335,92
82932,93
401583,94
8552,95
217058,96
489673,97
475992,98
495041,99
225610,100
473710,101
710902,102
341940,103
766444,104
432406,105
546663,106
548374,107
704183,108
307618,109
784530,110
534470,111
599659,112
372122,113
577023,114
572855,115
523481,116
219943,117
266932,118
514801,119
421962,120
502384,121
254792,122
138320,123
722546,124
46647,125
547104,126
683402,127
128198,128
818344,129
762520,130
293668,131
117983,132
6949,133
735425,134
158078,135
199953,136
329135,137
276924,138
193554,139
409813,140
440990,141
302176,142
124344,143
762519,144
177029,145
517150,146
512234,147
517488,148
776019,149
696947,150
477268,151
281713,152
492999,153
120640,154
789426,155
785362,156
298921,157
162273,158
605167,159
474726,160
364642,161
307651,162
614890,163
538734,164
767591,165
554760,166
528941,167
293622,168
472444,169
763206,170
239244,171
329967,172
71267,173
282150,174
46723,175
575880,176
539974,177
558289,178
275722,179
179267,180
517634,181
686750,182
766687,183
545429,184
15567,185
789959,186
259476,187
534031,188
23134,189
220650,190
515188,191
237520,192
64434,193
512027,194
737947,195
495799,196
245279,197
264857,198
23178,199
52141,200
755756,201
53826,202
215830,203
754188,204
279702,205
409251,206
646806,207
603055,208
435050,209
340310,210
752185,211
667517,212
150501,213
105115,214
142192,215
296995,216
146503,217
223472,218
457879,219
816840,220
319844,221
333103,222
775316,223
599989,224
80339,225
624887,226
726003,227
811387,228
460988,229
590998,230
509285,231
2016,232
74586,233
312976,234
160605,235
282493,236
161810,237
559004,238
681616,239
405643,240
152247,241
644965,242
64098,243
570488,244
223563,245
466577,246
785416,247
53563,248
508052,249
282711,250
443790,251
708314,252
27997,253
263915,254
585535,255
428274,256
150354,257
556140,258
314,259
157419,260
448373,261
146292,262
509726,263
467695,264
287672,265
662561,266
206882,267
493266,268
577462,269
611258,270
293884,271
47335,272
692436,273
783225,274
386120,275
63865,276
582102,277
165664,278
762292,279
128122,280
532741,281
530802,282
327425,283
171820,284
382970,285
663608,286
216819,287
281210,288
495430,289
99987,290
662558,291
375715,292
380099,293
60518,294
345570,295
441344,296
287318,297
285631,298
150516,299
332859,300
79227,301
555209,302
512607,303
331289,304
552899,305
34505,306
355081,307
51405,308
711137,309
291030,310
160060,311
569125,312
816238,313
650697,314
570453,315
296873,316
163436,317
424081,318
755801,319
249138,320
307477,321
627950,322
298719,323
281563,324
671475,325
251703,326
274876,327
282933,328
338931,329
488293,330
173863,331
300163,332
726003,333
102907,334
464781,335
546323,336
542173,337
293755,338
555533,339
339485,340
615284,341
769648,342
772527,343
92936,344
272703,345
56617,346
282914,347
186934,348
288454,349
190811,350
559989,351
1818,352
219272,353
560818,354
715197,355
395333,356
138157,357
15327,358
296872,359
307149,360
386702,361
658324,362
463518,363
323381,364
708200,365
212353,366
48411,367
748222,368
252341,369
588630,370
691036,371
665347,372
678270,373
463706,374
282385,375
597320,376
104062,377
647842,378
420785,379
138009,380
483228,381
516641,382
123825,383
611925,384
369886,385
601992,386
367900,387
158078,388
124147,389
452242,390
508063,391
222208,392
126280,393
204315,394
244757,395
152147,396
437901,397
235400,398
623410,399
380552,400
263855,401
389989,402
273745,403
29321,404
627807,405
284078,406
350343,407
814253,408
735109,409
23176,410
216087,411
743543,412
645036,413
594771,414
540711,415
555131,416
619435,417
639500,418
519747,419
65820,420
133,421
679314,422
654066,423
436788,424
480173,425
64547,426
645036,427
347283,428
377447,429
279813,430
304190,431
292356,432
125805,433
435836,434
400543,435
299146,436
208685,437
310421,438
34603,439
588884,440
722045,441
167972,442
15588,443
662089,444
285677,445
328589,446
436788,447
60339,448
537517,449
161790,450
156038,451
113380,452
712458,453
230945,454
28356,455
36072,456
627736,457
180481,458
372927,459
195122,460
721801,461
492520,462
221012,463
141769,464
286870,465
555552,466
22096,467
484857,468
315023,469
756949,470
151246,471
72103,472
557522,473
156712,474
150242,475
83310,476
321603,477
209913,478
180508,479
57678,480
391899,481
384736,482
114406,483
346332,484
34575,485
174635,486
542178,487
303880,488
24765,489
34130,490
52709,491
734716,492
428735,493
747610,494
448675,495
211838,496
457415,497
667999,498
199793,499
681223,500
688578,501
74803,502
301389,503
391799,504
735410,505
529798,506
609943,507
439614,508
600581,509
729676,510
19265,511
819440,512
371,513
205255,514
370175,515
688685,516
665478,517
237545,518
142115,519
421999,520
226854,521
475523,522
65220,523
747512,524
114398,525
769962,526
130556,527
221445,528
538812,529
324688,530
495943,531
154936,532
584767,533
237735,534
522008,535
323408,536
200284,537
138100,538
319515,539
53068,540
143653,541
662932,542
398259,543
467245,544
805384,545
226149,546
583091,547
24673,548
277866,549
630606,550
192864,551
138006,552
344546,553
618681,554
8497,555
257800,556
385924,557
227007,558
609165,559
340,560
311757,561
509321,562
77293,563
179290,564
481769,565
648915,566
757061,567
565273,568
278622,569
25826,570
308612,571
500301,572
762451,573
447727,574
275315,575
688815,576
653224,577
656513,578
632827,579
329922,580
60332,581
292662,582
148848,583
409364,584
262136,585
553397,586
288774,587
762361,588
604938,589
174343,590
462410,591
386075,592
11462,593
715143,594
496543,595
776987,596
388945,597
243895,598
282034,599
460246,600
363561,601
739802,602
8768,603
205285,604
437552,605
724004,606
426506,607
681552,608
683115,609
152856,610
345598,611
236463,612
609931,613
105923,614
421820,615
542748,616
541927,617
499460,618
59460,619
530926,620
131443,621
757812,622
580860,623
253452,624
495309,625
2210,626
460246,627
235138,628
282100,629
149697,630
237875,631
789605,632
130,633
391911,634
531888,635
546441,636
722229,637
55934,638
310248,639
681735,640
221677,641
661309,642
460926,643
576541,644
47304,645
521383,646
324015,647
785362,648
223563,649
295123,650
478222,651
293622,652
615562,653
237547,654
597462,655
105323,656
249662,657
295644,658
695138,659
68914,660
405065,661
25426,662
600205,663
564601,664
265380,665
539338,666
8567,667
284595,668
226149,669
40395,670
91448,671
229522,672
124135,673
646216,674
29186,675
275954,676
469705,677
608237,678
605651,679
567604,680
343010,681
736813,682
347917,683
2058,684
16743,685
300387,686
531252,687
562002,688
655158,689
512344,690
685885,691
818130,692
396810,693
22780,694
250057,695
578327,696
10168,697
782449,698
645658,699
675210,700
686979,701
609306,702
759910,703
627032,704
686635,705
769742,706
64429,707
286522,708
202993,709
74803,710
246546,711
232875,712
346713,713
299377,714
792118,715
591025,716
46067,717
675629,718
785786,719
713491,720
549533,721
376512,722
709759,723
668413,724
22901,725
279403,726
403572,727
239126,728
809828,729
609331,730
212126,731
163281,732
560084,733
668028,734
245264,735
214256,736
135559,737
512216,738
521363,739
320414,740
704088,741
219550,742
598098,743
66818,744
127491,745
513031,746
409139,747
225374,748
317615,749
711509,750
112284,751
411428,752
48593,753
519688,754
45795,755
559294,756
531919,757
578604,758
272685,759
30956,760
272334,761
688952,762
13904,763
75789,764
443438,765
301417,766
572666,767
281000,768
189516,769
22353,770
244426,771
536523,772
680734,773
151707,774
156542,775
396156,776
106108,777
554077,778
570508,779
594792,780
753651,781
24732,782
283030,783
615142,784
142667,785
373723,786
808649,787
254082,788
684294,789
610244,790
22067,791
349121,792
279573,793
32680,794
91291,795
15564,796
20797,797
394187,798
712469,799
388984,800
556327,801
83355,802
351029,803
708601,804
27415,805
409661,806
312458,807
316040,808
606342,809
307974,810
215115,811
482113,812
94209,813
665359,814
246943,815
156224,816
579648,817
440942,818
808024,819
337157,820
445975,821
27630,822
271517,823
599113,824
291991,825
154567,826
133467,827
63882,828
603736,829
128135,830
224850,831
385038,832
793204,833
304844,834
409433,835
37893,836
65629,837
175825,838
137244,839
315004,840
683558,841
668323,842
278822,843
179587,844
499824,845
216616,846
64139,847
428294,848
573497,849
651412,850
233540,851
416698,852
177537,853
236132,854
274193,855
141167,856
8470,857
7085,858
734089,859
245174,860
2308,861
396837,862
