artist_id,album_id
ARD7TVE1187B99BFB1,300848
ARMJAGH1187FB546F3,300822
ARKRRTF1187B9984DA,514953
AR7G5I41187FB4CE6C,287650
ARXR32B1187FB57099,611336
ARKFYS91187B98E58F,41838
ARD0S291187B9B7BF5,25824
AR10USD1187B99F3F1,8876
AR8ZCNI1187B9A069B,358182
ARNTLGG11E2835DDB9,692313
ARGSJW91187B9B1D6B,539081
ARC43071187B990240,163874
ARL7K851187B99ACD2,575792
ARHHO3O1187B989413,815863
ARIK43K1187B9AE54C,25811
ARD842G1187B997376,135122
ARIG6O41187B988BDD,149958
AR1ZHYZ1187FB3C717,535188
ARYKCQI1187FB3B18F,372309
ARNPAGP1241B9C7FD4,541101
ARQGYP71187FB44566,605134
ARI3BMM1187FB4255E,239740
AR5KOSW1187FB35FF4,386995
ARMAC4T1187FB3FA4C,223365
AR47JEX1187B995D81,652784
ARGIWFO1187B9B55B7,45730
ARNTLGG11E2835DDB9,672016
ARDNS031187B9924F0,160881
AROUOZZ1187B9ABE51,59744
ARH4Z031187B9A71F2,373723
ARB29H41187B98F0EF,228326
AR1Y2PT1187FB5B9CE,463514
ARAJPHH1187FB5566A,643400
AR0RCMP1187FB3F427,663761
AREBBGV1187FB523D2,12882
ARGUVEV1187B98BA17,270281
ARPQ4Z01187FB3A736,244586
ARNQAVF11F4C844C04,157648
ARXUT4W1187FB48BEB,644631
ARDD1RC1187B9B52B4,730551
ARLGWFM1187FB4AC9F,709879
ARWYVP51187B98C516,706005
ARFCUN31187B9AD578,42595
AR6YDKV1187B989230,782470
ARV1JVD1187B9AD195,28723
AR7TTS41187B9B42D3,557761
ART3O5Z1187B9AB043,417945
AR5U94U1187FB5CDCF,575531
ARRJNTE1187FB44E12,234425
AR6IRG41187B9A4D98,505301
ARS1OWB1187B99EEAD,74655
ARGMXQW1187FB54C34,322532
AROEL1B1187B988B90,14592
AR8W8DN1187FB35ED0,515081
ARUWLCL1187FB549B8,765750
AR3793X1187FB50CB3,17220
ARINEWW1187FB5577E,617077
ARDGB6U1187FB3AD07,278999
AR2J2WF1187FB46271,19601
ARUI8651187B9ACF52,38599
AR89DTT1187B9A7ED5,619882
ARMD0G81187B99A519,618615
AR0VZWC1187B99BA57,681639
ARF2EHS1187B994F4E,449471
ARZKRD01187FB45FD2,321356
ARK4H5K1187B992F74,530141
AR06EB01187FB40150,104765
ARKPDBH1242077DEB1,695158
ARBJSO81187B9BA09B,509770
ARRC2JF1187B9B6A93,223779
ARNIFX51187FB418EA,466577
ARCCRTI11F4C845308,148547
ARNVH8S1187FB52F86,423012
ARNLO5S1187B9B80CC,7133
ARTDQRC1187FB4EFD4,358442
ARK9TRQ1187B99C095,15567
ARODBRG1187FB3FD99,413222
ARMBYRO1187FB57419,80578
ARWY7I71187FB36C3D,26902
AR6Y22S1187B99906F,633532
ARI5P4N1187FB3F44D,435830
ARYPWUK1187B98ACED,495734
ARW63KF1187B98AC48,664484
AR8H87D1187FB3A841,112851
ARLWR721187B9A03C9,200689
ARF4V431187FB3AA41,682725
ARBGWMW1187B9AEA3E,287804
AR6G4V01187B9AD086,220917
ARVQ4QM1187B98AD95,629785
AR9AM2N1187B9AD2F1,11305
AR9XEVF1187B99D017,4967
ARCFOZ71187FB43A0D,325335
ARHFEBO11F50C4825A,82932
AR107SB1187B9A79F9,401583
ARXWAQQ1187B9AE954,8552
ARL6XZC1187FB3936E,217058
ARSDSMG1187B98CB59,489673
AR3WMW01187B9921F7,475992
AR3C3C01187B98E800,495041
ARDD9UN1187B98D3A7,225610
ARJGNV61187B98F3B5,473710
ARSVI4L1187B996181,710902
ARVJ0JK1187B98C9C0,341940
