artist_id,artist_name,artist_familiarity,artist_hotttnesss
ARD7TVE1187B99BFB1,Casual,0.581793766,0.401997543
ARMJAGH1187FB546F3,The Box Tops,0.630630038,0.417499645
ARKRRTF1187B9984DA,Sonora Santanera,0.487356791,0.343428378
AR7G5I41187FB4CE6C,Adam Ant,0.630382334,0.454231157
ARXR32B1187FB57099,Gob,0.651045661,0.401723686
ARKFYS91187B98E58F,Jeff And Sheri Easter,0.535292736,0.385470551
ARD0S291187B9B7BF5,Rated R,0.556495602,0.261941177
AR10USD1187B99F3F1,Tweeterfriendly Music,0.801136447,0.605507136
AR8ZCNI1187B9A069B,Planet P Project,0.426667857,0.332275747
ARNTLGG11E2835DDB9,Clp,0.550513698,0.422705641
ARGSJW91187B9B1D6B,JennyAnyKind,0.360031166,0.296268954
ARC43071187B990240,Wayne Watson,0.545159296,0.351555861
ARL7K851187B99ACD2,Andy Andy,0.577508974,0.37948217
ARHHO3O1187B989413,Bob Azzam,0.085512047,0.251936525
ARIK43K1187B9AE54C,Lionel Richie,0.776675856,0.553071991
ARD842G1187B997376,Blue Rodeo,0.636423645,0.44793548
ARIG6O41187B988BDD,Richard Souther,0.419943148,0.330806357
AR1ZHYZ1187FB3C717,Faiz Ali Faiz,0.363280571,0.306676093
ARYKCQI1187FB3B18F,Tesla,0.707199764,0.51346329
ARNPAGP1241B9C7FD4,lextrical,0.32031437,0.1
ARQGYP71187FB44566,Jimmy Wakely,0.39413854,0.291539727
ARI3BMM1187FB4255E,Alice Stuart,0.489816269,0.328553015
AR5KOSW1187FB35FF4,Elena,0.677420465,0.378254686
ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,0.839962768,0.541888972
AR47JEX1187B995D81,SUE THOMPSON,0.435415818,0.306242264
ARGIWFO1187B9B55B7,Five Bolt Main,0.6090637,0.363651365
ARNTLGG11E2835DDB9,Clp,0.550513698,0.422705641
ARDNS031187B9924F0,Tim Wilson,0.459797129,0.349912612
AROUOZZ1187B9ABE51,Willie Bobo,0.588827101,0.379671125
ARH4Z031187B9A71F2,Faye Adams,0.396455254,0.299230368
